complaint_id,date,channel,product_category,complaint_text,severity
C001,2024-01-03,email,credit_card,"My credit card was declined at the grocery store even though I had sufficient funds. I checked my balance immediately after and it was fine. Very embarrassing.",high
C002,2024-01-05,phone,credit_card,"I noticed an unauthorized charge of $350.00 on my credit card. I did not make this purchase and need it disputed immediately.",high
C003,2024-01-08,chat,savings_account,"I was charged twice for the same transaction of $89.99. The duplicate charge needs to be reversed as soon as possible.",medium
C004,2024-01-10,email,credit_card,"My credit card has been declined multiple times today at different merchants. There is plenty of available credit on the card.",medium
C005,2024-01-12,phone,credit_card,"There are three fraudulent transactions on my account totaling $520. I need the card blocked and a dispute filed immediately.",high
C006,2024-01-14,social_media,savings_account,"My online transfer of $500 to my savings account failed twice but I was charged both times. Where is my money?",high
C007,2024-01-16,web_form,credit_card,"An international transaction was blocked without notifying me. I was traveling abroad and could not use my card for 6 hours.",medium
C008,2024-01-18,email,savings_account,"I attempted a wire transfer of $2000 and it failed. The money was debited from my account but never arrived at the destination.",high
C009,2024-01-21,phone,credit_card,"My card was declined for a $12 coffee purchase. I have a $10000 credit limit and nearly no balance. This makes no sense.",medium
C010,2024-01-23,chat,credit_card,"I made a purchase online and the transaction shows as pending for 8 days. The merchant says they were paid but I see no confirmation.",low
C011,2024-01-25,email,credit_card,"Someone used my card details to make several online purchases. My card was in my wallet the whole time. This must be a data breach.",high
C012,2024-01-28,phone,savings_account,"My ATM withdrawal of $300 was deducted from my account but the machine did not dispense the cash. I need this refunded immediately.",high
C013,2024-01-30,chat,credit_card,"I returned merchandise worth $150 two weeks ago but the refund has not appeared on my credit card statement yet.",medium
C014,2024-02-02,email,credit_card,"My credit card payment did not process on time even though I submitted it three days before the due date. Now I have a late fee.",medium
C015,2024-02-05,phone,savings_account,"My debit card was declined at a restaurant even though I had over $800 in my account. Very embarrassing situation.",high
C016,2024-02-07,web_form,credit_card,"I received an alert for a transaction I did not make at a store 200 miles from my home. Please freeze my account immediately.",high
C017,2024-02-10,email,savings_account,"My recurring payment failed this month even though the account has sufficient funds. This is causing issues with my service providers.",medium
C018,2024-02-12,chat,credit_card,"The cash advance I requested was not received. The fee was charged but the funds never appeared in my checking account.",high
C019,2024-02-14,social_media,savings_account,"My direct deposit has not arrived even though my employer confirmed it was sent two days ago. I need access to my paycheck.",high
C020,2024-02-16,phone,credit_card,"Contactless payment keeps failing at checkout. The chip works fine but tap-to-pay has not worked for two weeks.",low
C021,2024-02-18,email,mobile_app,"The mobile app crashes every time I try to open my account history. I have reinstalled the app twice and the problem persists.",medium
C022,2024-02-20,phone,mobile_app,"I cannot log into the mobile app. My password is correct but I keep getting an authentication error. I tried on two different phones.",high
C023,2024-02-21,chat,mobile_app,"The mobile app shows a balance that is $500 lower than what I know is in my account. Very concerning and needs immediate investigation.",high
C024,2024-02-23,email,mobile_app,"Face ID login stopped working on the app after the latest update. Now I have to type my password every single time.",low
C025,2024-02-25,web_form,mobile_app,"The mobile banking app is extremely slow and takes 30 to 40 seconds to load each screen. This makes it virtually unusable.",medium
C026,2024-02-26,social_media,mobile_app,"Your app has been down for over 3 hours. I cannot access my account view my balance or make any transfers. Completely unacceptable.",high
C027,2024-02-28,phone,mobile_app,"The app keeps logging me out randomly while I am in the middle of a transaction. I have to start the whole process over each time.",medium
C028,2024-03-01,email,mobile_app,"Push notifications for transactions stopped working after the iOS update. I rely on these alerts for fraud detection.",medium
C029,2024-03-03,chat,mobile_app,"The mobile check deposit feature keeps rejecting my check image even though the check is clear and undamaged. Error code MD-4422.",medium
C030,2024-03-05,phone,mobile_app,"I cannot complete any bill payments through the app. It gives me an error at the confirmation step every time. Error BPE-1001.",high
C031,2024-03-06,email,mobile_app,"The fingerprint login on Android is not working. The app accepts the fingerprint scan but then says authentication failed.",medium
C032,2024-03-08,web_form,mobile_app,"Two-factor authentication codes are arriving 15 to 20 minutes late making them expired by the time I receive them.",medium
C033,2024-03-10,social_media,mobile_app,"The new app update removed the quick balance feature. This was one of the most useful features and now it is gone.",low
C034,2024-03-11,chat,mobile_app,"Cannot add a new payee in the bill payment section. The save button is greyed out after I enter all the required information.",medium
C035,2024-03-12,email,mobile_app,"The app shows my credit card limit as zero even though I have a $5000 limit. This is preventing me from making purchases through the app.",high
C036,2024-03-13,phone,credit_card,"I was charged a $35 overdraft fee even though my account had a positive balance of $120 at the time of the transaction.",high
C037,2024-03-14,email,savings_account,"I am being charged a $15 monthly maintenance fee but I was told when I opened the account that there would be no monthly fees.",medium
C038,2024-03-14,chat,credit_card,"My credit card statement shows a $29.99 annual fee that I was never told about when I applied for this card.",medium
C039,2024-03-15,web_form,savings_account,"I have been charged foreign transaction fees on purchases I made within the country. This is incorrect and needs to be refunded.",medium
C040,2024-03-15,phone,credit_card,"Three overdraft fees were charged in one day for transactions under $5 each. Your fee structure is predatory and needs to be reviewed.",high
C041,2024-03-16,email,savings_account,"I was charged a paper statement fee of $5 even though I am enrolled in electronic statements. Please refund this immediately.",low
C042,2024-03-16,social_media,credit_card,"The late payment fee of $39 was charged even though I set up automatic payments. Your system failed and I am being penalized for it.",high
C043,2024-03-17,chat,savings_account,"I noticed a $12.50 inactivity fee on my account. I have been actively using this account every month for the past year.",medium
C044,2024-03-17,phone,mortgage,"My mortgage statement shows a different interest rate than what was in my loan agreement. I need a corrected statement sent.",high
C045,2024-03-18,email,credit_card,"I disputed a charge 45 days ago and the investigation is still ongoing. I have not received any updates on the status.",medium
C046,2024-03-18,chat,savings_account,"Wire transfer fees of $30 were charged twice for a single transfer. I only requested one wire transfer but was billed for two.",medium
C047,2024-03-19,web_form,credit_card,"There are finance charges on my statement even though I pay my full balance every month. I have never carried a balance.",medium
C048,2024-03-19,phone,savings_account,"I was charged an early withdrawal penalty for a CD that I did not withdraw from. The fee of $200 was applied in error.",high
C049,2024-03-20,email,credit_card,"A balance transfer fee was charged that was not disclosed in the promotional offer I accepted. This needs to be waived.",medium
C050,2024-03-20,social_media,savings_account,"My account shows a negative balance due to fees I was never informed about. This will affect my credit score if not resolved.",high
C051,2024-03-20,phone,credit_card,"I have been on hold for over 2 hours trying to reach customer service about a billing dispute. This is completely unacceptable.",high
C052,2024-03-21,email,savings_account,"The customer service representative I spoke with was extremely rude and dismissive. She told me my complaint was not her problem.",high
C053,2024-03-21,chat,mobile_app,"I have called five times about the same issue and each time I am transferred to another department with no resolution.",high
C054,2024-03-21,web_form,credit_card,"I was promised a callback within 24 hours but it has been four days with no response. I have left three voicemails.",medium
C055,2024-03-22,phone,mortgage,"The mortgage department has disconnected my call three times while I was waiting to speak with a specialist about my refinance.",medium
C056,2024-03-22,email,savings_account,"Your chat support closes at 8pm but your website says 24 hours. I was left stranded trying to resolve an urgent account issue.",medium
C057,2024-03-22,social_media,credit_card,"I submitted a fraud complaint online 10 days ago and have not received any acknowledgment or case number. No follow-up at all.",high
C058,2024-03-23,chat,mobile_app,"The automated phone system refuses to connect me to a live agent. It keeps saying my issue can be resolved online but it cannot.",medium
C059,2024-03-23,phone,savings_account,"I spoke with three different agents about my issue and received three completely different answers. Your staff needs better training.",medium
C060,2024-03-23,email,credit_card,"I was transferred to the wrong department four times. I have been trying to get a simple statement copy for two weeks now.",low
C061,2024-03-24,web_form,mortgage,"Customer service told me my loan modification was approved but online it still shows under review. Completely contradictory information.",high
C062,2024-03-24,phone,personal_loan,"I cannot reach the personal loan department. The wait time says 90 minutes every time I call. I just need to update my payment date.",medium
C063,2024-03-24,chat,savings_account,"Your branch closed without notifying customers by email. I drove 20 minutes to find a locked door with only a small note on the window.",low
C064,2024-03-25,email,credit_card,"The dispute I filed was closed without any investigation. I was sent a form letter saying the charge was valid with no explanation.",high
C065,2024-03-25,social_media,mobile_app,"Your social media team takes 3 to 5 days to respond to complaints. By then the issue either resolves itself or escalates further.",medium
C066,2024-03-25,phone,savings_account,"My account has been locked for 3 days and I cannot access any of my funds. I need this resolved immediately as I have bills to pay.",high
C067,2024-03-25,email,savings_account,"My password reset link expired before I could click it. The links are only valid for 15 minutes which is not enough time.",medium
C068,2024-03-26,chat,mobile_app,"Two-factor authentication is not sending codes to my phone number even though the number on file is correct and active.",high
C069,2024-03-26,web_form,savings_account,"My account shows as frozen but I have not received any communication about why. I need to understand what triggered the freeze.",high
C070,2024-03-26,phone,credit_card,"The security question I set up is not being accepted even though I know the correct answer. I cannot verify my identity online.",medium
C071,2024-03-26,email,savings_account,"I moved to a new phone and now cannot receive the authentication codes. Recovering access to my account requires a branch visit.",medium
C072,2024-03-27,social_media,mobile_app,"After updating my email address my account was locked for security review. It has been 5 days and my account is still inaccessible.",high
C073,2024-03-27,chat,credit_card,"I am trying to add my card to Apple Pay but keep getting a verification error. I have tried calling and the wait time is over 1 hour.",low
C074,2024-03-27,phone,savings_account,"My account access was revoked because of a suspicious login attempt. I made the login from my own home computer. False positive.",medium
C075,2024-03-27,email,savings_account,"I cannot access my online banking for 8 days due to a system flag. I have verified my identity three times and it is still locked.",high
C076,2024-03-27,web_form,mortgage,"My mortgage application has been under review for 45 days. I have submitted all required documents twice but receive no updates.",high
C077,2024-03-28,phone,personal_loan,"The interest rate on my personal loan statement is 2 percent higher than the rate shown in my original loan agreement.",high
C078,2024-03-28,email,mortgage,"My mortgage payment was processed twice this month. The duplicate payment of $1850 needs to be refunded as soon as possible.",high
C079,2024-03-28,chat,personal_loan,"I requested a loan payoff quote 3 weeks ago and still have not received it. I need this to close my refinance application.",medium
C080,2024-03-28,social_media,mortgage,"It has been 6 weeks since I submitted my home equity loan application with no decision. I was told it would take 2 to 3 weeks.",medium
