complaint_id,date,channel,product_category,complaint_text,severity,text_clean,theme_id
C001,2024-01-03,email,credit_card,My credit card was declined at the grocery store even though I had sufficient funds. I checked my balance immediately after and it was fine. Very embarrassing.,high,my credit card was declined at the grocery store even though i had sufficient funds. i checked my balance immediately after and it was fine. very embarrassing.,2
C002,2024-01-05,phone,credit_card,I noticed an unauthorized charge of $350.00 on my credit card. I did not make this purchase and need it disputed immediately.,high,i noticed an unauthorized charge of 350.00 on my credit card. i did not make this purchase and need it disputed immediately.,2
C003,2024-01-08,chat,savings_account,I was charged twice for the same transaction of $89.99. The duplicate charge needs to be reversed as soon as possible.,medium,i was charged twice for the same transaction of 89.99. the duplicate charge needs to be reversed as soon as possible.,3
C004,2024-01-10,email,credit_card,My credit card has been declined multiple times today at different merchants. There is plenty of available credit on the card.,medium,my credit card has been declined multiple times today at different merchants. there is plenty of available credit on the card.,2
C005,2024-01-12,phone,credit_card,There are three fraudulent transactions on my account totaling $520. I need the card blocked and a dispute filed immediately.,high,there are three fraudulent transactions on my account totaling 520. i need the card blocked and a dispute filed immediately.,2
C006,2024-01-14,social_media,savings_account,My online transfer of $500 to my savings account failed twice but I was charged both times. Where is my money?,high,my online transfer of 500 to my savings account failed twice but i was charged both times. where is my money?,3
C007,2024-01-16,web_form,credit_card,An international transaction was blocked without notifying me. I was traveling abroad and could not use my card for 6 hours.,medium,an international transaction was blocked without notifying me. i was traveling abroad and could not use my card for 6 hours.,4
C008,2024-01-18,email,savings_account,I attempted a wire transfer of $2000 and it failed. The money was debited from my account but never arrived at the destination.,high,i attempted a wire transfer of 2000 and it failed. the money was debited from my account but never arrived at the destination.,3
C009,2024-01-21,phone,credit_card,My card was declined for a $12 coffee purchase. I have a $10000 credit limit and nearly no balance. This makes no sense.,medium,my card was declined for a 12 coffee purchase. i have a 10000 credit limit and nearly no balance. this makes no sense.,2
C010,2024-01-23,chat,credit_card,I made a purchase online and the transaction shows as pending for 8 days. The merchant says they were paid but I see no confirmation.,low,i made a purchase online and the transaction shows as pending for 8 days. the merchant says they were paid but i see no confirmation.,0
C011,2024-01-25,email,credit_card,Someone used my card details to make several online purchases. My card was in my wallet the whole time. This must be a data breach.,high,someone used my card details to make several online purchases. my card was in my wallet the whole time. this must be a data breach.,2
C012,2024-01-28,phone,savings_account,My ATM withdrawal of $300 was deducted from my account but the machine did not dispense the cash. I need this refunded immediately.,high,my atm withdrawal of 300 was deducted from my account but the machine did not dispense the cash. i need this refunded immediately.,4
C013,2024-01-30,chat,credit_card,I returned merchandise worth $150 two weeks ago but the refund has not appeared on my credit card statement yet.,medium,i returned merchandise worth 150 two weeks ago but the refund has not appeared on my credit card statement yet.,2
C014,2024-02-02,email,credit_card,My credit card payment did not process on time even though I submitted it three days before the due date. Now I have a late fee.,medium,my credit card payment did not process on time even though i submitted it three days before the due date. now i have a late fee.,2
C015,2024-02-05,phone,savings_account,My debit card was declined at a restaurant even though I had over $800 in my account. Very embarrassing situation.,high,my debit card was declined at a restaurant even though i had over 800 in my account. very embarrassing situation.,2
C016,2024-02-07,web_form,credit_card,I received an alert for a transaction I did not make at a store 200 miles from my home. Please freeze my account immediately.,high,i received an alert for a transaction i did not make at a store 200 miles from my home. please freeze my account immediately.,3
C017,2024-02-10,email,savings_account,My recurring payment failed this month even though the account has sufficient funds. This is causing issues with my service providers.,medium,my recurring payment failed this month even though the account has sufficient funds. this is causing issues with my service providers.,4
C018,2024-02-12,chat,credit_card,The cash advance I requested was not received. The fee was charged but the funds never appeared in my checking account.,high,the cash advance i requested was not received. the fee was charged but the funds never appeared in my checking account.,3
C019,2024-02-14,social_media,savings_account,My direct deposit has not arrived even though my employer confirmed it was sent two days ago. I need access to my paycheck.,high,my direct deposit has not arrived even though my employer confirmed it was sent two days ago. i need access to my paycheck.,1
C020,2024-02-16,phone,credit_card,Contactless payment keeps failing at checkout. The chip works fine but tap-to-pay has not worked for two weeks.,low,contactless payment keeps failing at checkout. the chip works fine but tap-to-pay has not worked for two weeks.,0
C021,2024-02-18,email,mobile_app,The mobile app crashes every time I try to open my account history. I have reinstalled the app twice and the problem persists.,medium,the mobile app crashes every time i try to open my account history. i have reinstalled the app twice and the problem persists.,4
C022,2024-02-20,phone,mobile_app,I cannot log into the mobile app. My password is correct but I keep getting an authentication error. I tried on two different phones.,high,i cannot log into the mobile app. my password is correct but i keep getting an authentication error. i tried on two different phones.,4
C023,2024-02-21,chat,mobile_app,The mobile app shows a balance that is $500 lower than what I know is in my account. Very concerning and needs immediate investigation.,high,the mobile app shows a balance that is 500 lower than what i know is in my account. very concerning and needs immediate investigation.,4
C024,2024-02-23,email,mobile_app,Face ID login stopped working on the app after the latest update. Now I have to type my password every single time.,low,face id login stopped working on the app after the latest update. now i have to type my password every single time.,4
C025,2024-02-25,web_form,mobile_app,The mobile banking app is extremely slow and takes 30 to 40 seconds to load each screen. This makes it virtually unusable.,medium,the mobile banking app is extremely slow and takes 30 to 40 seconds to load each screen. this makes it virtually unusable.,4
C026,2024-02-26,social_media,mobile_app,Your app has been down for over 3 hours. I cannot access my account view my balance or make any transfers. Completely unacceptable.,high,your app has been down for over 3 hours. i cannot access my account view my balance or make any transfers. completely unacceptable.,4
C027,2024-02-28,phone,mobile_app,The app keeps logging me out randomly while I am in the middle of a transaction. I have to start the whole process over each time.,medium,the app keeps logging me out randomly while i am in the middle of a transaction. i have to start the whole process over each time.,0
C028,2024-03-01,email,mobile_app,Push notifications for transactions stopped working after the iOS update. I rely on these alerts for fraud detection.,medium,push notifications for transactions stopped working after the ios update. i rely on these alerts for fraud detection.,0
C029,2024-03-03,chat,mobile_app,The mobile check deposit feature keeps rejecting my check image even though the check is clear and undamaged. Error code MD-4422.,medium,the mobile check deposit feature keeps rejecting my check image even though the check is clear and undamaged. error code md-4422.,0
C030,2024-03-05,phone,mobile_app,I cannot complete any bill payments through the app. It gives me an error at the confirmation step every time. Error BPE-1001.,high,i cannot complete any bill payments through the app. it gives me an error at the confirmation step every time. error bpe-1001.,4
C031,2024-03-06,email,mobile_app,The fingerprint login on Android is not working. The app accepts the fingerprint scan but then says authentication failed.,medium,the fingerprint login on android is not working. the app accepts the fingerprint scan but then says authentication failed.,4
C032,2024-03-08,web_form,mobile_app,Two-factor authentication codes are arriving 15 to 20 minutes late making them expired by the time I receive them.,medium,two-factor authentication codes are arriving 15 to 20 minutes late making them expired by the time i receive them.,0
C033,2024-03-10,social_media,mobile_app,The new app update removed the quick balance feature. This was one of the most useful features and now it is gone.,low,the new app update removed the quick balance feature. this was one of the most useful features and now it is gone.,4
C034,2024-03-11,chat,mobile_app,Cannot add a new payee in the bill payment section. The save button is greyed out after I enter all the required information.,medium,cannot add a new payee in the bill payment section. the save button is greyed out after i enter all the required information.,0
C035,2024-03-12,email,mobile_app,The app shows my credit card limit as zero even though I have a $5000 limit. This is preventing me from making purchases through the app.,high,the app shows my credit card limit as zero even though i have a 5000 limit. this is preventing me from making purchases through the app.,2
C036,2024-03-13,phone,credit_card,I was charged a $35 overdraft fee even though my account had a positive balance of $120 at the time of the transaction.,high,i was charged a 35 overdraft fee even though my account had a positive balance of 120 at the time of the transaction.,3
C037,2024-03-14,email,savings_account,I am being charged a $15 monthly maintenance fee but I was told when I opened the account that there would be no monthly fees.,medium,i am being charged a 15 monthly maintenance fee but i was told when i opened the account that there would be no monthly fees.,3
C038,2024-03-14,chat,credit_card,My credit card statement shows a $29.99 annual fee that I was never told about when I applied for this card.,medium,my credit card statement shows a 29.99 annual fee that i was never told about when i applied for this card.,2
C039,2024-03-15,web_form,savings_account,I have been charged foreign transaction fees on purchases I made within the country. This is incorrect and needs to be refunded.,medium,i have been charged foreign transaction fees on purchases i made within the country. this is incorrect and needs to be refunded.,3
C040,2024-03-15,phone,credit_card,Three overdraft fees were charged in one day for transactions under $5 each. Your fee structure is predatory and needs to be reviewed.,high,three overdraft fees were charged in one day for transactions under 5 each. your fee structure is predatory and needs to be reviewed.,3
C041,2024-03-16,email,savings_account,I was charged a paper statement fee of $5 even though I am enrolled in electronic statements. Please refund this immediately.,low,i was charged a paper statement fee of 5 even though i am enrolled in electronic statements. please refund this immediately.,2
C042,2024-03-16,social_media,credit_card,The late payment fee of $39 was charged even though I set up automatic payments. Your system failed and I am being penalized for it.,high,the late payment fee of 39 was charged even though i set up automatic payments. your system failed and i am being penalized for it.,0
C043,2024-03-17,chat,savings_account,I noticed a $12.50 inactivity fee on my account. I have been actively using this account every month for the past year.,medium,i noticed a 12.50 inactivity fee on my account. i have been actively using this account every month for the past year.,4
C044,2024-03-17,phone,mortgage,My mortgage statement shows a different interest rate than what was in my loan agreement. I need a corrected statement sent.,high,my mortgage statement shows a different interest rate than what was in my loan agreement. i need a corrected statement sent.,1
C045,2024-03-18,email,credit_card,I disputed a charge 45 days ago and the investigation is still ongoing. I have not received any updates on the status.,medium,i disputed a charge 45 days ago and the investigation is still ongoing. i have not received any updates on the status.,3
C046,2024-03-18,chat,savings_account,Wire transfer fees of $30 were charged twice for a single transfer. I only requested one wire transfer but was billed for two.,medium,wire transfer fees of 30 were charged twice for a single transfer. i only requested one wire transfer but was billed for two.,3
C047,2024-03-19,web_form,credit_card,There are finance charges on my statement even though I pay my full balance every month. I have never carried a balance.,medium,there are finance charges on my statement even though i pay my full balance every month. i have never carried a balance.,2
C048,2024-03-19,phone,savings_account,I was charged an early withdrawal penalty for a CD that I did not withdraw from. The fee of $200 was applied in error.,high,i was charged an early withdrawal penalty for a cd that i did not withdraw from. the fee of 200 was applied in error.,3
C049,2024-03-20,email,credit_card,A balance transfer fee was charged that was not disclosed in the promotional offer I accepted. This needs to be waived.,medium,a balance transfer fee was charged that was not disclosed in the promotional offer i accepted. this needs to be waived.,3
C050,2024-03-20,social_media,savings_account,My account shows a negative balance due to fees I was never informed about. This will affect my credit score if not resolved.,high,my account shows a negative balance due to fees i was never informed about. this will affect my credit score if not resolved.,2
C051,2024-03-20,phone,credit_card,I have been on hold for over 2 hours trying to reach customer service about a billing dispute. This is completely unacceptable.,high,i have been on hold for over 2 hours trying to reach customer service about a billing dispute. this is completely unacceptable.,4
C052,2024-03-21,email,savings_account,The customer service representative I spoke with was extremely rude and dismissive. She told me my complaint was not her problem.,high,the customer service representative i spoke with was extremely rude and dismissive. she told me my complaint was not her problem.,0
C053,2024-03-21,chat,mobile_app,I have called five times about the same issue and each time I am transferred to another department with no resolution.,high,i have called five times about the same issue and each time i am transferred to another department with no resolution.,0
C054,2024-03-21,web_form,credit_card,I was promised a callback within 24 hours but it has been four days with no response. I have left three voicemails.,medium,i was promised a callback within 24 hours but it has been four days with no response. i have left three voicemails.,4
C055,2024-03-22,phone,mortgage,The mortgage department has disconnected my call three times while I was waiting to speak with a specialist about my refinance.,medium,the mortgage department has disconnected my call three times while i was waiting to speak with a specialist about my refinance.,1
C056,2024-03-22,email,savings_account,Your chat support closes at 8pm but your website says 24 hours. I was left stranded trying to resolve an urgent account issue.,medium,your chat support closes at 8pm but your website says 24 hours. i was left stranded trying to resolve an urgent account issue.,4
C057,2024-03-22,social_media,credit_card,I submitted a fraud complaint online 10 days ago and have not received any acknowledgment or case number. No follow-up at all.,high,i submitted a fraud complaint online 10 days ago and have not received any acknowledgment or case number. no follow-up at all.,0
C058,2024-03-23,chat,mobile_app,The automated phone system refuses to connect me to a live agent. It keeps saying my issue can be resolved online but it cannot.,medium,the automated phone system refuses to connect me to a live agent. it keeps saying my issue can be resolved online but it cannot.,0
C059,2024-03-23,phone,savings_account,I spoke with three different agents about my issue and received three completely different answers. Your staff needs better training.,medium,i spoke with three different agents about my issue and received three completely different answers. your staff needs better training.,1
C060,2024-03-23,email,credit_card,I was transferred to the wrong department four times. I have been trying to get a simple statement copy for two weeks now.,low,i was transferred to the wrong department four times. i have been trying to get a simple statement copy for two weeks now.,1
C061,2024-03-24,web_form,mortgage,Customer service told me my loan modification was approved but online it still shows under review. Completely contradictory information.,high,customer service told me my loan modification was approved but online it still shows under review. completely contradictory information.,1
C062,2024-03-24,phone,personal_loan,I cannot reach the personal loan department. The wait time says 90 minutes every time I call. I just need to update my payment date.,medium,i cannot reach the personal loan department. the wait time says 90 minutes every time i call. i just need to update my payment date.,0
C063,2024-03-24,chat,savings_account,Your branch closed without notifying customers by email. I drove 20 minutes to find a locked door with only a small note on the window.,low,your branch closed without notifying customers by email. i drove 20 minutes to find a locked door with only a small note on the window.,0
C064,2024-03-25,email,credit_card,The dispute I filed was closed without any investigation. I was sent a form letter saying the charge was valid with no explanation.,high,the dispute i filed was closed without any investigation. i was sent a form letter saying the charge was valid with no explanation.,0
C065,2024-03-25,social_media,mobile_app,Your social media team takes 3 to 5 days to respond to complaints. By then the issue either resolves itself or escalates further.,medium,your social media team takes 3 to 5 days to respond to complaints. by then the issue either resolves itself or escalates further.,0
C066,2024-03-25,phone,savings_account,My account has been locked for 3 days and I cannot access any of my funds. I need this resolved immediately as I have bills to pay.,high,my account has been locked for 3 days and i cannot access any of my funds. i need this resolved immediately as i have bills to pay.,4
C067,2024-03-25,email,savings_account,My password reset link expired before I could click it. The links are only valid for 15 minutes which is not enough time.,medium,my password reset link expired before i could click it. the links are only valid for 15 minutes which is not enough time.,0
C068,2024-03-26,chat,mobile_app,Two-factor authentication is not sending codes to my phone number even though the number on file is correct and active.,high,two-factor authentication is not sending codes to my phone number even though the number on file is correct and active.,0
C069,2024-03-26,web_form,savings_account,My account shows as frozen but I have not received any communication about why. I need to understand what triggered the freeze.,high,my account shows as frozen but i have not received any communication about why. i need to understand what triggered the freeze.,4
C070,2024-03-26,phone,credit_card,The security question I set up is not being accepted even though I know the correct answer. I cannot verify my identity online.,medium,the security question i set up is not being accepted even though i know the correct answer. i cannot verify my identity online.,0
C071,2024-03-26,email,savings_account,I moved to a new phone and now cannot receive the authentication codes. Recovering access to my account requires a branch visit.,medium,i moved to a new phone and now cannot receive the authentication codes. recovering access to my account requires a branch visit.,4
C072,2024-03-27,social_media,mobile_app,After updating my email address my account was locked for security review. It has been 5 days and my account is still inaccessible.,high,after updating my email address my account was locked for security review. it has been 5 days and my account is still inaccessible.,4
C073,2024-03-27,chat,credit_card,I am trying to add my card to Apple Pay but keep getting a verification error. I have tried calling and the wait time is over 1 hour.,low,i am trying to add my card to apple pay but keep getting a verification error. i have tried calling and the wait time is over 1 hour.,2
C074,2024-03-27,phone,savings_account,My account access was revoked because of a suspicious login attempt. I made the login from my own home computer. False positive.,medium,my account access was revoked because of a suspicious login attempt. i made the login from my own home computer. false positive.,4
C075,2024-03-27,email,savings_account,I cannot access my online banking for 8 days due to a system flag. I have verified my identity three times and it is still locked.,high,i cannot access my online banking for 8 days due to a system flag. i have verified my identity three times and it is still locked.,0
C076,2024-03-27,web_form,mortgage,My mortgage application has been under review for 45 days. I have submitted all required documents twice but receive no updates.,high,my mortgage application has been under review for 45 days. i have submitted all required documents twice but receive no updates.,1
C077,2024-03-28,phone,personal_loan,The interest rate on my personal loan statement is 2 percent higher than the rate shown in my original loan agreement.,high,the interest rate on my personal loan statement is 2 percent higher than the rate shown in my original loan agreement.,1
C078,2024-03-28,email,mortgage,My mortgage payment was processed twice this month. The duplicate payment of $1850 needs to be refunded as soon as possible.,high,my mortgage payment was processed twice this month. the duplicate payment of 1850 needs to be refunded as soon as possible.,3
C079,2024-03-28,chat,personal_loan,I requested a loan payoff quote 3 weeks ago and still have not received it. I need this to close my refinance application.,medium,i requested a loan payoff quote 3 weeks ago and still have not received it. i need this to close my refinance application.,1
C080,2024-03-28,social_media,mortgage,It has been 6 weeks since I submitted my home equity loan application with no decision. I was told it would take 2 to 3 weeks.,medium,it has been 6 weeks since i submitted my home equity loan application with no decision. i was told it would take 2 to 3 weeks.,1
